Наименование ИОГВ;Домен
Департамент лесного хозяйства Томской области;leshoz
Комитет государственной национальной политики и общественных связей;gospolitika
Комитет организационной работы и протокола;komorg
Департамент экспертно-аналитической работы Администрации Томской области;analitik
Архивное управление Томской области;arhiv
Финансово-хозяйственное управление Администрации Томской области;finanshoz
Комитет по государственно-правовым вопросам Администрации Томской области;komitgos
Комитет по общим вопросам Администрации Томской области;komitvopros
Департамент ЗАГС Томской области;zags
Департамент природных ресурсов и охраны окружающей среды Томской области;ohrana
Комитет по мобилизационной подготовке Администрации Томской области;nobbilizac
Комитет по атомной промышленности;atom
Консультант по обеспечению деятельности Комиссии по вопросам помилования на территории Томской области;pomilovanie
Комитет общественной безопасности Администрации Томской области;bezopas
Комитет по обеспечению деятельности мировых судей Томской области;sudya
Отдел по документальной связи и режиму Администрации Томской области;dokument
Департамент государственной гражданской службы Администрации Томской области;gossl
Департамент информационной политики;politik
Департамент общего образования Томской области;obrazov
Департамент по науке и инновационной политике Администрации Томской области;innovaz
Департамент по высшему профессиональному образованию Администрации Томской области;vobrazov
Департамент профессионального образования Томской области;profobraz
Комитет по контролю, надзору и лицензированию в сфере образования Томской области;kontrol
Департамент по недропользованию и развитию нефтегазодобывающего комплекса;neftgaz
Департамент энергетики Администрации Томской области;energo
Департамент по социально-экономическому развитию села Томской области;socekonom
Управление ветеринарии Томской области;veterenariya
Департамент ЖКХ и государственного жилищного надзора Томской области;gkh
Департамент архитектуры и строительства Томской области;depstroy
Главная инспекция государственного строительного надзора Томской области;gsn
Комитет по вопросам ГО и ЧС Администрации Томской области;goadmin
Департамент финансов Томской области;finans
Департамент промышленности и развития предпринимательства Томской области;biznesdep
Департамент по культуре и туризму Томской области;kultura
Департамент по молодежной политике, физической культуре и спорту Томской области;molpolitik
Департамент социальной защиты населения Томской области;zachita
Департамент здравоохранения Томской области;zdravoxranenie
Департамент по вопросам семьи и детей Томской области;semya
Департамент экономики;ekonomik
Департамент международных и региональных связей;svyaz
Департамент инвестиций Томской области;invest
Контрольно-ревизионное управление;reviziya
Департамент тарифного регулирования Томской области;tarif
Департамент по управлению государственной собственностью Томской области;upravlenie
Департамент труда и занятости населения Томской области;trud
Департамент потребительского рынка Администрации Томской области;market
Комитет по контролю исполнения Администрации Томской области;kontrolispol
Департамент государственных и муниципальных услуг;gosuslugi
Комитет по работе с законодательными органами власти и экономико-правовой экспертизе Администрации Томской области;ekspert
Комитет по лицензированию Томской области;komitet
Отдел по обеспечению деятельности Совета безопасности;otdel
Представительство Томской области при Правительстве Российской Федерации;pravitel
Департамент по взаимодействию с законодательными и представительными органами власти Администрации Томской области;zakon
Департамент по работе с органами местного самоуправления Администрации Томской области;omcu
Комитет по территориальному развитию;territor
Комитет рыбного хозяйства Томской области;fish
Экспертный совет;ekspertsov
Инспекция государственного технического надзора Томской области;nadzor
Департамент транспорта, дорожной деятельности и связи Томской области;transport
Учебно-методический центр;metod
Департамент развития информационного общества;innovacob
Департамент государственного заказа Томской области;zakaz
Комитет государственного финансового контроля Томской области;kgfk
Управление охотничьего хозяйства Томской области;ohota
Информация с аппаратных совещаний Администрации Томской области под руководством губернатора Томской области;apparat
Законодательная Дума Томской области;duma
Представитель в Совете Федерации Федерального Собрания Российской Федерации от Администрации Томской;predsedatel
Избирательная комиссия Томской области;komissiya
Местное самоуправление;samoupravlenie
Уполномоченный по правам человека в Томской области;pravacheloveka
Уполномоченный по правам ребенка в Томской области;pravareb
Уполномоченный по защите прав предпринимателей в Томской области;zachitaprav